,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
9959,215,972,30,13731,123069082,79,649.71
9960,215,972,30,13731,123069082,79,649.71
9961,215,972,30,13731,123069082,79,649.71
9962,215,972,30,13731,123069082,79,649.71
9963,215,972,30,13731,123069082,79,649.71
9964,215,972,30,13731,123069082,79,649.71
9965,215,972,30,13731,123069082,79,649.71
9966,215,972,30,13731,123069082,79,649.71
9994,233,1501,30,13731,123069179,3,240.07
9995,233,1501,30,13731,123069179,3,240.07
9996,233,1501,30,13731,123069179,3,240.07
9997,233,1501,30,13731,123069179,3,240.07
9998,233,1501,30,13731,123069179,3,240.07
9999,233,1501,30,13731,123069179,3,240.07
10000,233,1501,30,13731,123069179,3,240.07
10001,233,1501,30,13731,123069179,3,240.07
