data_2,count
0.0,92
85.14,11
241.51,9
4722.0,9
7083.0,9
1180.0,9
240.07,8
142.69,8
649.71,8
3541.0,7
8263.0,7
14603.75,7
5902.0,6
86.94,6
24.61,6
0.02,6
955.0,6
118.81,5
135.31,5
1072.47,5
2866.0,5
59.41,5
100.18,5
428.08,4
190206.0,4
156.03,4
166.97,4
962.18,4
811.48,4
40.07,4
1110.0,4
81.39,4
7.55,4
662.83,4
14603.66,4
1911.0,4
468.09,4
0.01,4
90.21,4
200.35,4
68.0,4
113.91,4
2361.0,4
104.55,4
80.14,4
192.75,3
384.95,3
104.34,3
91.59,3
10320.0,3
172.84,3
133.54,3
206.0,3
1688.79,3
196.8,3
106.86,3
256.82,3
131.49,3
763.0,3
165.51,3
168.68,3
300.52,3
1110.33,3
56505.0,3
172.99,3
88.62,3
72.36,3
9443.0,3
95.05,3
354.55,3
118.8,3
114.41,3
100.17,3
50.85,3
90.02,3
40.13,3
78.01,3
32.9,3
329.65,3
71.85,3
660.0,3
380.51,3
115.45,3
41.38,3
454.9,3
157.08,3
24.67,3
147.5,3
42.09,3
22.67,3
95.13,3
-0.01,3
39.38,3
67.27,3
100.16,3
47.88,3
126.62,3
58.25,3
48.0,3
56.76,3
4737.15,3
0.03,3
106.85,3
52.92,3
85.15,3
73.75,3
208.2,3
1930.92,3
98.45,2
127.87,2
11113.0,2
139.82,2
1940.0,2
5733.0,2
127.78,2
897.0,2
22.66,2
331.31,2
133.55,2
40.15,2
295.04,2
178.46,2
125.18,2
545.92,2
85.08,2
33600.0,2
65.29,2
129.63,2
978.15,2
81.72,2
34713.85,2
180.32,2
618.07,2
13800.0,2
109.47,2
2001.0,2
64.83,2
82.45,2
237.83,2
214.27,2
813.23,2
481.49,2
92.01,2
362.61,2
303.28,2
115.33,2
64.05,2
208.97,2
818.52,2
171.6,2
119.48,2
733.14,2
72.47,2
106.68,2
108.4,2
22.33,2
1216.07,2
7003.0,2
147.69,2
114.13,2
4115.0,2
157.87,2
1186.41,2
1181.0,2
92.84,2
1099.9,2
8121.0,2
278.61,2
134.86,2
401.72,2
2076.68,2
716.24,2
335.42,2
146.35,2
234.53,2
12.89,2
92.59,2
1569.33,2
315.0,2
272.46,2
597.66,2
352.8,2
35.4,2
528.91,2
1.72,2
601.05,2
170.42,2
630.17,2
339.73,2
146.27,2
15.19,2
149.97,2
120.09,2
228.97,2
46.77,2
65.43,2
49.89,2
461.53,2
503.58,2
129.0,2
720.19,2
79.58,2
57.17,2
283.93,2
339.3,2
91.57,2
8120.0,2
25.39,2
243.64,2
300.72,2
361.8,2
178.58,2
69.78,2
14099.0,2
22.73,2
713.46,2
2524.88,2
167.65,2
200.58,2
109.0,2
41.8,2
158.8,2
96.47,2
52.62,2
780.0,2
6782.29,2
164.96,2
234.22,2
219.43,2
166.96,2
133.58,2
132.64,2
65.27,2
120.83,2
321.64,2
104.06,2
2799.73,2
477.34,2
1620.57,2
86.92,2
149.05,2
58.28,2
152.29,2
82.25,2
29.47,2
34713.77,2
171.2,2
4777.0,2
4721.0,2
506.51,2
15.12,2
52.23,2
8280.06,2
6868.0,2
265.71,2
3822.0,2
114.02,2
25200.0,2
228.81,2
576.45,2
348.2,2
274.27,2
424.0,2
156.0,2
475.65,2
83.95,2
143.34,2
135.3,2
261.5,2
16.41,2
57.71,2
123.52,2
60.58,2
120.66,2
787.04,2
2517.47,2
251.51,2
135.9,2
1327.64,2
54.6,2
303.27,2
33986.0,2
173.29,2
429.66,2
2884.45,2
454.31,2
136.9,2
82.0,2
164.4,2
56.38,2
1361.35,2
8.22,2
321.86,2
1480.44,2
916.3,2
205.39,2
135.66,2
555.17,2
56.31,2
401.43,2
34.22,2
709.1,2
68.4,2
172.7,2
444.84,2
379.85,2
191.23,2
78.0,2
517.27,2
272.99,2
238.5,2
1525.0,2
138.37,2
150.35,2
332.95,2
156.67,2
-11.56,2
702.0,2
154.08,2
242.82,2
77.37,2
8596.0,2
163.89,2
555.16,2
146.8,2
292.23,2
86.85,2
119.89,2
25.3,2
71.37,2
116.1,2
71.31,2
122.1,2
99.38,2
66.92,2
214.18,2
318.99,2
91.72,2
192.66,2
30.05,2
1754.36,2
1290.0,2
5600.0,2
257.0,2
433.25,2
122.81,2
-8.22,2
333.94,2
699.48,2
481.89,2
180.33,2
156.55,2
130.13,2
149.3,2
52.88,2
138.78,2
202.16,2
50.12,2
1986.17,2
10163.9,2
664.02,2
22.7,2
683.74,2
146.85,2
120.74,2
461.5,2
212.94,2
241.49,2
122.08,2
106.05,2
-28.05,2
200.34,2
53.5,2
257.26,2
490.32,2
810.67,2
66.09,2
98.07,2
7354.6,2
1013.61,2
264.36,2
291.86,2
535.44,2
65.44,2
120.3,2
106.95,2
263.35,2
1708.93,2
222.0,2
385.0,2
1680.0,2
515.36,2
187.77,2
80.03,2
120.8,2
130.33,2
182.35,2
548.3,2
890.24,2
147.99,2
99.71,2
447.3,2
143.54,2
29.79,2
216.06,2
14100.0,2
104.8,2
98.19,2
252.0,2
30.71,2
504.85,2
69259.67,2
80.44,2
40.89,2
329.75,2
122.12,2
87.12,2
280.62,2
234.04,2
98.47,2
155.2,2
95.82,2
835.72,2
259.08,2
579.22,2
151.23,2
45.46,2
93.5,2
76.86,2
182.13,2
6687.0,2
120.82,2
98.64,2
425.37,2
611.11,2
133.57,2
